fecha_reporte_web,departamento,departamento_nom,ciudad_municipio,ciudad_municipio_nom,id_de_caso
20/8/2021 0:00:00,25,CUNDINAMARCA,25372,JUNIN,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25386,LA MESA,4
20/8/2021 0:00:00,25,CUNDINAMARCA,25394,LA PALMA,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25402,LA VEGA,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25430,MADRID,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25473,MOSQUERA,5
20/8/2021 0:00:00,25,CUNDINAMARCA,25488,NILO,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25736,SESQUILE,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25743,SILVANIA,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25754,SOACHA,12
20/8/2021 0:00:00,25,CUNDINAMARCA,25817,TOCANCIPA,2
20/8/2021 0:00:00,25,CUNDINAMARCA,25843,UBATE,2
20/8/2021 0:00:00,25,CUNDINAMARCA,25875,VILLETA,5
20/8/2021 0:00:00,25,CUNDINAMARCA,25899,ZIPAQUIRA,10
20/8/2021 0:00:00,27,CHOCO,27001,QUIBDO,6
20/8/2021 0:00:00,27,CHOCO,27413,LLORO,1
20/8/2021 0:00:00,41,HUILA,41001,NEIVA,20
20/8/2021 0:00:00,41,HUILA,41013,AGRADO,1
20/8/2021 0:00:00,41,HUILA,41132,CAMPOALEGRE,2
20/8/2021 0:00:00,41,HUILA,41298,GARZON,4
20/8/2021 0:00:00,41,HUILA,41306,GIGANTE,1
20/8/2021 0:00:00,41,HUILA,41319,GUADALUPE,1
20/8/2021 0:00:00,41,HUILA,41378,LA ARGENTINA,2
20/8/2021 0:00:00,41,HUILA,41396,LA PLATA,2
20/8/2021 0:00:00,41,HUILA,41503,OPORAPA,1
20/8/2021 0:00:00,41,HUILA,41551,PITALITO,15
20/8/2021 0:00:00,41,HUILA,41668,SAN AGUSTIN,5
20/8/2021 0:00:00,41,HUILA,41770,SUAZA,1
20/8/2021 0:00:00,41,HUILA,41791,TARQUI,4
20/8/2021 0:00:00,41,HUILA,41807,TIMANA,1
20/8/2021 0:00:00,44,GUAJIRA,44001,RIOHACHA,11
20/8/2021 0:00:00,44,GUAJIRA,44035,ALBANIA,3
20/8/2021 0:00:00,44,GUAJIRA,44430,MAICAO,5
20/8/2021 0:00:00,44,GUAJIRA,44560,MANAURE,1
20/8/2021 0:00:00,44,GUAJIRA,44650,SAN JUAN DEL CESAR,5
20/8/2021 0:00:00,44,GUAJIRA,44874,VILLANUEVA,1
20/8/2021 0:00:00,47,MAGDALENA,47030,ALGARROBO,14
20/8/2021 0:00:00,47,MAGDALENA,47053,ARACATACA,1
20/8/2021 0:00:00,47,MAGDALENA,47189,CIENAGA,2
20/8/2021 0:00:00,47,MAGDALENA,47205,CONCORDIA,1
20/8/2021 0:00:00,47,MAGDALENA,47245,EL BANCO,1
20/8/2021 0:00:00,47,MAGDALENA,47288,FUNDACION,3
20/8/2021 0:00:00,47,MAGDALENA,47541,PEDRAZA,1
20/8/2021 0:00:00,47,MAGDALENA,47551,PIVIJAY,2
20/8/2021 0:00:00,47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,4
20/8/2021 0:00:00,47,MAGDALENA,47720,SANTA BARBARA DE PINTO,3
20/8/2021 0:00:00,47,MAGDALENA,47980,ZONA BANANERA,2
20/8/2021 0:00:00,50,META,50001,VILLAVICENCIO,30
20/8/2021 0:00:00,50,META,50006,ACACIAS,2
20/8/2021 0:00:00,50,META,50226,CUMARAL,3
20/8/2021 0:00:00,50,META,50313,GRANADA,1
20/8/2021 0:00:00,50,META,50568,PUERTO GAITAN,2
20/8/2021 0:00:00,50,META,50573,PUERTO LOPEZ,1
20/8/2021 0:00:00,50,META,50606,RESTREPO,2
20/8/2021 0:00:00,52,NARIÑO,52001,PASTO,34
20/8/2021 0:00:00,52,NARIÑO,52036,ANCUYA,1
20/8/2021 0:00:00,52,NARIÑO,52079,BARBACOAS,1
20/8/2021 0:00:00,52,NARIÑO,52083,BELEN,1
20/8/2021 0:00:00,52,NARIÑO,52110,BUESACO,4
20/8/2021 0:00:00,52,NARIÑO,52203,COLON (GENOVA),4
20/8/2021 0:00:00,52,NARIÑO,52215,CORDOBA,1
20/8/2021 0:00:00,52,NARIÑO,52227,CUMBAL,4
20/8/2021 0:00:00,52,NARIÑO,52317,GUACHUCAL,2
20/8/2021 0:00:00,52,NARIÑO,52356,IPIALES,8
20/8/2021 0:00:00,52,NARIÑO,52399,LA UNION,2
20/8/2021 0:00:00,52,NARIÑO,52418,LOS ANDES (SOTOMAYOR),1
20/8/2021 0:00:00,52,NARIÑO,52480,NARIÑO,1
20/8/2021 0:00:00,52,NARIÑO,52683,SANDONA,3
20/8/2021 0:00:00,52,NARIÑO,52687,SAN LORENZO,1
20/8/2021 0:00:00,52,NARIÑO,52693,SAN PABLO,6
20/8/2021 0:00:00,52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),1
20/8/2021 0:00:00,52,NARIÑO,52835,TUMACO,1
20/8/2021 0:00:00,52,NARIÑO,52885,YACUANQUER,1
20/8/2021 0:00:00,54,NORTE SANTANDER,54001,CUCUTA,59
20/8/2021 0:00:00,54,NORTE SANTANDER,54172,CHINACOTA,2
